,год,ВСЕГО,ЖЕНЩИН,"Незанятые граждане,ищущие работу",РАБОТНИКОВ С/Х,РАБОЧИХ,СЛУЖАЩИХ,Трудоспос. население в трудоспос. Возрасте,освобождено от уг отв,привлечено к уголовной отв
Заринск,2016.0,534.0,88.0,427.0,0.0,88.0,3.0,7392.0,210.0,324.0
Заринск,2017.0,473.0,81.0,430.0,0.0,91.0,2.0,7135.0,159.0,314.0
Заринск,2018.0,446.0,61.0,398.0,0.0,107.0,3.0,6650.0,164.0,282.0
Заринск,2019.0,408.0,73.0,412.0,0.0,96.0,6.0,6779.0,157.0,251.0
Рубцовск,2015.0,1452.0,276.0,565.0,1.0,233.0,6.0,7879.0,794.0,658.0
Рубцовск,2016.0,1256.0,198.0,589.0,2.0,181.0,4.0,7651.0,513.0,743.0
Рубцовск,2017.0,1190.0,223.0,512.0,1.0,211.0,1.0,7431.0,450.0,738.0
Рубцовск,2018.0,1121.0,170.0,402.0,0.0,184.0,6.0,7073.0,419.0,699.0
Рубцовск,2019.0,1008.0,178.0,273.0,0.0,170.0,5.0,7060.0,367.0,638.0
ИТОГО,2015.0,26665.0,4086.0,1302.0,183.0,5260.0,318.0,122868.0,10902.0,15763.0
ИТОГО,2016.0,26039.0,3688.0,1013.0,183.0,4910.0,232.0,120497.0,9851.0,16048.0
ИТОГО,2017.0,23465.0,3364.0,951.0,113.0,4444.0,187.0,118313.0,7736.0,15681.0
ИТОГО,2018.0,22786.0,3237.0,928.0,123.0,4507.0,150.0,114444.0,7684.0,15053.0
ИТОГО,2019.0,21582.0,3207.0,1268.0,80.0,4457.0,255.0,115969.0,7201.0,14290.0
